company_id,company_name,short_description,medical_relevance_score,side_job_fit_score,career_shift_fit_score,hybrid_fit_score,industry,work_style,risk_level,learning_growth_score,target_background,note_for_coach
635,富士フイルム（医療）,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,81,75,40,57,医療機器メーカー,,30,80,機械設計;臨床経験者;品質管理,
47,日本医療機器開発機構,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,72,75,40,57,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
59,日本医療機器技術開発機構,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,72,75,40,57,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
87,JMDC,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,72,75,40,57,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
88,レイヤード,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,72,75,40,57,介護・福祉,,45,65,介護職;看護師;福祉系経験者,
89,アルム,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,72,75,40,57,介護・福祉,,45,65,介護職;看護師;福祉系経験者,
308,メディセオ,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,72,75,40,57,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
331,生化学工業,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,72,75,40,57,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
439,医療ワーカー,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,72,75,40,57,介護・福祉,,45,65,介護職;看護師;福祉系経験者,
485,メジカルビュー社,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,72,75,40,57,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
573,日本予防医学協会,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,72,75,40,57,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
9,シーメンスヘルスケア,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,63,60,60,60,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
86,メディカルデータビジョン,医療×IT領域でシステムやデータサービスを提供し、医療現場の業務効率化を支援しています。,63,60,60,60,医療IT・医療データ,,30,65,ITエンジニア;医療現場経験者;データサイエンティスト,
100,メディカルリンク,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,63,60,60,60,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
262,パレクセル,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,63,60,60,60,その他医療関連,,45,65,医療関連経験者;業界未経験者歓迎,
264,ノバルティスファーマ,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,63,60,60,60,その他医療関連,,45,65,医療関連経験者;業界未経験者歓迎,
269,中外製薬,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,63,60,60,60,製薬・バイオ,,50,65,研究職;臨床開発;薬剤師,
286,アレクシオン,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,63,60,60,60,その他医療関連,,45,65,医療関連経験者;業界未経験者歓迎,
294,塩野義製薬,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,63,60,60,60,製薬・バイオ,,50,65,研究職;臨床開発;薬剤師,
435,看護roo!,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,63,60,60,60,その他医療関連,,45,65,医療関連経験者;業界未経験者歓迎,
482,南江堂,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,63,60,60,60,医療機器メーカー,,40,65,機械設計;臨床経験者;品質管理,
486,羊土社,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,63,60,60,60,その他医療関連,,45,65,医療関連経験者;業界未経験者歓迎,
16,フクダ電子,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,42,60,60,60,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
24,ボストン・サイエンティフィック,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,42,60,60,60,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
28,ミナト医科学,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,42,60,60,60,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
171,ニチイ学館,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,42,60,60,60,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
172,ツクイ,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,42,60,60,60,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
189,ベストリハ,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,42,60,60,60,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
309,東邦薬品,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,42,60,60,60,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
358,ヘルスケアシステムズ,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,42,60,60,60,医療IT・医療データ,,30,50,ITエンジニア;医療現場経験者;データサイエンティスト,
10,日本光電,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
18,ニプロ,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
20,フィリップス,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
23,日本メドトロニック,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
27,タカラベルモント,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
30,瑞穂医科工業,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
36,平和物産,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
40,日本コヴィディエン,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
99,メディカルサポート,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
173,SOMPOケア,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
176,やさしい手,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
186,SOMPOホールディングス介護事業,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
187,ベストライフ,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
268,武田薬品工業,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,製薬・バイオ,,45,50,医療関連経験者;業界未経験者歓迎,
275,MSD,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
281,アムジェン,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
283,バイオジェン,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,製薬・バイオ,,50,50,研究職;臨床開発;薬剤師,
285,アルナイラム,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
306,アルフレッサ,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
320,クリエイトSD,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
325,大鵬薬品工業,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,製薬・バイオ,,45,50,医療関連経験者;業界未経験者歓迎,
346,川本産業,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
349,龍角散,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
352,Health2Sync,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,36,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
398,ルネサンス,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
403,東急スポーツオアシス,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
415,SOMPOホールディングス,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
418,アクサ生命,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
434,ナースではたらこ,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
445,民間医局,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
446,DtoDコンシェルジュ,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
531,川本産業（医療衛生）,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
535,龍角散（のど薬）,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
542,サラヤ（衛生・感染対策）,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
632,SCREENホールディングス（医療材料）,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
636,HOYA（医療光学）,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
640,日本光電（医療機器）,医療機器の開発・製造を行い、医療現場で使われる製品を提供しています。,36,40,75,57,医療機器メーカー,,40,50,機械設計;臨床経験者;品質管理,
642,積水ハウス（医療施設）,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,36,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
4,メドレー,医療×IT領域でシステムやデータサービスを提供し、医療現場の業務効率化を支援しています。,30,40,75,57,医療IT・医療データ,,30,50,ITエンジニア;医療現場経験者;データサイエンティスト,
33,アズワン,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,30,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
96,メディカル・ケア・サービス,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,30,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
98,メディカルコンシェルジュ,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,30,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
182,チャームケア,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,30,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
183,木下の介護,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,30,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
267,第一三共,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,30,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
270,大塚製薬,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,30,40,75,57,製薬・バイオ,,50,50,研究職;臨床開発;薬剤師,
284,CSLベーリング,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,30,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
300,あすか製薬,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,30,40,75,57,製薬・バイオ,,50,50,研究職;臨床開発;薬剤師,
402,セントラルスポーツ,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,30,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
404,スポーツクラブNAS,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,30,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
419,住友生命,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,30,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
432,メディカルプラネット,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,30,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
442,ドクターキャスト,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,30,40,75,57,その他医療関連,,45,50,医療関連経験者;業界未経験者歓迎,
515,大塚製薬（栄養・健康）,医療・ヘルスケア分野に関連する事業を展開し、医療や生活者の健康を支援する企業です。,30,40,75,57,製薬・バイオ,,50,50,研究職;臨床開発;薬剤師,
521,日清オイリオ（栄養）,介護・福祉サービスを提供し、高齢者支援や在宅ケアの現場に関わる事業を展開しています。,30,40,75,57,介護・福祉,,45,50,介護職;看護師;福祉系経験者,
